Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
foodCanCorn,items,Food,,,Can of Corn,,Dose Mais,Lata de maíz,Conserve de petits maïs,Mais in scatola,とうもろこしの缶,옥수수 캔,Kukurydzy w puszce,Lata de Milho,Банка кукурузы,Konserve Mısır,玉米罐,玉米罐,Lata de maíz
foodCanPotato,items,Food,,,Can of Potatoes,,Dose Kartoffeln,Lata de patatas,Conserve de pommes de terre,Patate in scatola,ジャガイモの缶,감자 캔,Ziemniaków w puszce,Lata de Batatas,Банка картофеля,Konserve Patates,土豆罐,土豆罐,Lata de patatas
foodCanPumpkin,items,Food,,,Can of Pumpkins,,Dose Kürbisse,Lata de calabazas,Boîte de citrouilles,Lattina di zucche,カボチャの缶,호박의 수 있습니다,Puszka z dyni,Lata de abóboras,Банка тыквы,Balkabağı olabilir,泵罐,泵罐,Lata de calabazas
foodCanMushrooms,items,Food,,,Can of Mushrooms,,Dose Pilze,Lata de champiñones,Conserve de champignons,Funghi in scatola,キノコの缶,버섯 캔,Grzybów w puszce,Lata de Cogumelos,Банка грибов,Konserve Mantar,蘑菇罐,蘑菇罐,Lata de champiñones
foodPreservedBlueberries,items,Food,,,Blueberry Preserves,,Blaubeerkonserven,Conservas de mora,Conserve de myrtille,Conserve di Mirtilli,ブルーベリープリザーブ,블루베리 프 리저브,Przetwory jagodowe,Conservas de Mirtilo,Черничное варенье,Yaban Mersini Reçeli,蓝莓酱,藍莓果醬,Conservas de mora
foodPreservedSnowberries,items,Food,,,Snowberry Preserves,,Schneebeerkonserven,Conservas de baya de nieve,Conserve de symphorine,Conserve di sinforina,セッコウボクプリザーブ,스노우베리 프 리저브,Przetwory śnieżne,Conservas de Baga-da-neve,Снежное варенье,Kar Üzümü Reçeli,雪莓酱,雪果果醬,Conservas de baya de nieve
foodCannedDesc,items,Food,,,All the convenience of preserved food without the distracting flavor.,,Alle Bequemlichkeit von konservierten Lebensmitteln ohne den störenden Geschmack.,Toda la comodidad de los alimentos en conserva sin el sabor que distrae.,Toute la commodité de la nourriture conservée sans la saveur distrayante.,Tutta la praticità del cibo conservato senza il sapore fastidioso.,気を散らす味のない保存食品のすべての便利さ。,산만 한 풍미없이 보존 식품의 모든 편리함.,Cała wygoda konserwowanej żywności bez rozpraszającego smaku.,Toda a conveniência de alimentos em conserva sem o sabor perturbador.,Все удобство консервов без отвлекающего аромата.,Dikkat dağıtıcı tadı olmadan korunmuş yiyeceklerin tüm rahatlığı.,腌制食品的所有便利都不会分散风味。,醃製食品的所有便利都不會分散風味。,Toda la comodidad de los alimentos en conserva sin el sabor que distrae.
foodCanBeefSchematic,items,Food,,,Large Beef Ration Recipe,,Großes Rindfleischrationsrezept,Receta de ración de carne grande,Recette de grande ration de boeuf,Ricetta per razione di manzo grande,大規模な牛肉の配給レシピ,큰 쇠고기 식량 레시피,Przepis na dużą porcję wołowiny,Receita de ração de carne grande,Рецепт большого говяжьего рациона,Büyük Dana Rasyon Tarifi,大牛肉配食食谱,大牛肉配食食譜,Receta de ración de carne grande
foodCanLambSchematic,items,Food,,,Lamb Rations Recipe,,Lamb Rations Recipe,Receta de raciones de cordero,Recette de rations d'agneau,Ricetta per razioni di agnello,子羊の配給レシピ,양고기 식량 레시피,Przepis na racje jagnięce,Receita de rações de cordeiro,Рецепт рациона из баранины,Kuzu Rasyon Tarifi,羔羊定量食谱,羔羊定量食譜,Receta de raciones de cordero
foodCanDogfoodSchematic,items,Food,,,Can of Dog Food Recipe,,Dose Hundefutter Rezept,Receta de lata de comida para perros,Recette de canette de nourriture pour chien,Lattina di cibo per cani ricetta,ドッグフードレシピの缶,개밥 레시피 캔,Przepis na karmę dla psów,Receita de comida para cachorro,Рецепт консервной банки,Köpek Maması Tarifi,可以狗食食谱,可以狗食食譜,Receta de lata de comida para perros
foodCanStockSchematic,items,Food,,,Can of Stock Recipe,,Dose Stock Rezept,Receta de lata de stock,Recette de canette de bouillon,Lattina di ricetta di riserva,缶のストックレシピ,스톡 레시피 캔,Przepis na puszkę zapasów,Receita em lata de estoque,Рецепт консервной банки,Stok Tarifi Konserve,罐存货食谱,罐存貨食譜,Receta de lata de stock
foodCanSoupSchematic,items,Food,,,Chicken Soup Recipe,,Hühnersuppe Rezept,Receta de sopa de pollo,Recette de soupe au poulet,Ricetta Zuppa Di Pollo,チキンスープのレシピ,치킨 수프 레시피,Przepis na Zupę Kurczaka,Receita de canja de galinha,Рецепт куриного супа,Tavuk Çorbası Tarifi,鸡肉汤食谱,雞肉湯食譜,Receta de sopa de pollo
foodCanCornSchematic,items,Food,,,Can of Corn Recipe,,Dose Mais Rezept,Receta de lata de maíz,Recette de boîte de maïs,Ricetta di lattina di mais,とうもろこしレシピの缶,옥수수 레시피 캔,Przepis na puszkę kukurydzy,Receita de lata de milho,Рецепт банки кукурузы,Mısır Konservesi Tarifi,可以玉米食谱,可以玉米食譜,Receta de lata de maíz
foodCanPotatoSchematic,items,Food,,,Can of Potatoes Recipe,,Dose Kartoffel Rezept,Receta de lata de patatas,Recette de boîte de pommes de terre,Lattina di patate ricetta,じゃがいものレシピの缶,감자 레시피 캔,Przepis na puszkę ziemniaków,Receita de lata de batata,Рецепт Банки Картофеля,Patates Konservesi Tarifi,可以的土豆食谱,可以的土豆食譜,Receta de lata de patatas
foodCanPumpkinSchematic,items,Food,,,Can of Pumpkins Recipe,,Dose Kürbisrezept,Lata de receta de calabazas,Boîte de recette de citrouilles,Lattina della ricetta delle zucche,カボチャレシピの缶,호박 캔 조리법,Puszka dyni przepis,Lata de receita de abóboras,Может рецепт тыквы,Kabaklar tarifi,泵罐配方,泵罐配方,Lata de receta de calabazas
foodCanMushroomsSchematic,items,Food,,,Can of Mushrooms Recipe,,Dose Pilze Rezept,Receta de lata de champiñones,Recette de boîte de champignons,Ricetta lattina di funghi,きのこのレシピの缶,버섯 레시피 캔,Przepis na puszkę grzybów,Receita de lata de cogumelos,Банка грибов Рецепт,Konserve Mantar Tarifi,可以的蘑菇食谱,可以的蘑菇食譜,Receta de lata de champiñones
foodPreservedBlueberriesSchematic,items,Food,,,Blueberry Preserves Recipe,,Blaubeerkonserven Rezept,Receta de conservas de arándanos,Recette de conserves de bleuets,Ricetta Conserva Di Mirtilli,ブルーベリープリザーブレシピ,블루 베리는 조리법을 보존합니다,Przepis na przetwory jagodowe,Receita de conservas de mirtilo,Рецепт варенья из черники,Yabanmersini Tarifi Korur,蓝莓蜜饯食谱,藍莓蜜餞食譜,Receta de conservas de arándanos
foodPreservedSnowberriesSchematic,items,Food,,,Snowberry Preserves Recipe,,Schneebeerkonserven Rezept,Receta de conservas de baya de nieve,Recette de conserves de myrtilles,Ricetta delle Conserve di sinforina,スノーベリープリザーブレシピ,Snowberry는 조리법을 보존합니다,Przepis na Przetwory Śnieżkowe,Receita de Preservas de Snowberry,Рецепт пресервов из снежников,Snowberry Tarifi Korur,雪莓蜜饯食谱,雪莓蜜餞食譜,Receta de conservas de baya de nieve
foodPreservedMeat,items,Food,,,Cured Meat,,Gehärtetes Fleisch,Carne curada,Viande durcie,Salumi,硬化した肉,치료 된 고기,Wyleczony mięso,Carne curada,Вяленое мясо,İşlenmiş et,腌肉,醃肉,Carne curada
foodPreservedMeatDesc,items,Food,,,"Meat that has been smoked and cured. It takes a long time to cook, but it is delicious, and it does not spoil.",,"Fleisch, das geraucht und gehärtet wurde. Es dauert lange, bis es kocht, aber es ist lecker, und es verderbt nicht.","Carne que ha sido fumada y curada. Lleva mucho tiempo cocinar, pero es delicioso, y no se echa a perder.","Viande qui a été fumée et guérie. Il faut beaucoup de temps pour cuisiner, mais c'est délicieux et il ne gâche pas.","Carne che è stata affumicata e curata. Ci vuole molto tempo per cucinare, ma è delizioso, e non rovina.",喫煙して治癒した肉。調理するのに長い時間がかかりますが、それは美味しいです、そしてそれは損なわれません。,훈제하고 치료 한 고기. 요리하는 데 오랜 시간이 걸리지 만 맛있습니다. 그것은 망치지 않습니다.,"Mięso, które zostało wędzone i wyleczone. Do gotowania zajmuje dużo czasu, ale jest pyszne i nie psuje.","Carne que foi fumada e curada. Demora muito tempo para cozinhar, mas é delicioso, e não estraga.","Мясо, которое было копчено и вылечено. Это занимает много времени, но это вкусно, и он не испортил.","Füme ve tedavi edilmiş et. Yemek yapmak uzun zaman alıyor, ama lezzetli ve bozulmaz.",被熏制和治愈的肉。做饭需要很长时间，但它很好，它不会破坏。,被熏制和治癒的肉。做飯需要很長時間，但它很好，它不會破壞。,"Carne que ha sido fumada y curada. Lleva mucho tiempo cocinar, pero es delicioso, y no se echa a perder."
foodPreservedMeatSchematic,items,food,,,Cured Meat Recipe,,Gehärtetes Fleischrezept.,Receta de carne curada,Recette de viande durcie,Ricetta di carne curata,硬化した肉レシピ,치유 된 고기 조리법,Leczony przepis,Receita curada de carne,Рецепт излеченного мяса,Kürlenmiş et tarifi,治愈的肉食谱,治癒的肉食譜,Receta de carne curada
foodPreservedPie,items,Food,,,Shamway Fruit Pie,,Shamway Fruit Pie.,Pastel de frutas de Shamway,Tarte aux fruits,Torta della frutta dello shadway,シャムウェイフルーツパイ,Shamway 과일 파이,Shamway owocowy ciasto,Torta de frutas Shamway.,Фруктовый пирог Shamway,Shamway meyve pasta,金槽水果馅饼,金槽水果餡餅,Pastel de frutas de Shamway
foodPreservedPieDesc,items,Food,,,"Packed with chemicals, preservatives, and sugar, these pies might not be the healthiest of foods, but they will stay fresh longer than most survivors.",,"Diese Kuchen mit Chemikalien, Konservierungsmitteln und Zucker verpackt, sind möglicherweise nicht die gesündesten Lebensmittel, aber sie werden länger frisch bleiben als die meisten Überlebenden.","Embalado con productos químicos, conservantes y azúcares, estos pasteles podrían no ser los alimentos más saludables, pero se mantendrán frescos más largos que la mayoría de los sobrevivientes.","Emballé avec des produits chimiques, des conservateurs et du sucre, ces tartes ne sont peut-être pas le plus saintien des aliments, mais ils resteront frais plus longtemps que la plupart des survivants.","Confezionato con prodotti chimici, conservanti e zuccheri, queste torte potrebbero non essere il più sano degli alimenti, ma rimarranno freschi più a lungo della maggior parte dei sopravvissuti.",化学物質、防腐剤、砂糖を詰めた、これらのパイは最も健康的な食品ではないかもしれませんが、彼らはほとんどの生存者よりも鮮明ではなくなります。,"화학 물질, 방부제 및 설탕으로 포장 된이 파이는 가장 건강한 음식이 아니라 가장 생존자보다 더 오래 머물러있을 것입니다.","Pakowane z chemikaliami, konserwantami i cukrem, ciasta te mogą nie być najzdrowszym pokarmami, ale pozostaną świeże dłużej niż większość ocalałych.","Embalado com produtos químicos, conservantes e açúcar, essas tortas podem não ser mais saudáveis ​​dos alimentos, mas ficarão frescos mais longos do que a maioria dos sobreviventes.","Упакованные химическими веществами, консервантами и сахаром, эти пироги могут не быть самым здоровым из продуктов питания, но они останутся свежими дольше, чем большинство выживших.","Kimyasal maddeler, koruyucular ve şeker ile doludur, bu turtalar, yiyeceklerin en sağlıklı olmayabilir, ancak çoğu hayatta kalanlardan daha uzun sürecekler.",这些馅饼包装了化学品，防腐剂和糖，可能不是最健康的食物，但它们会比大多数幸存者保持清新。,這些餡餅包裝了化學品，防腐劑和糖，可能不是最健康的食物，但它們會比大多數倖存者保持清新。,"Embalado con productos químicos, conservantes y azúcares, estos pasteles podrían no ser los alimentos más saludables, pero se mantendrán frescos más largos que la mayoría de los sobrevivientes."
